FrequencyHz,SV1
0,8.79343e-39
0.0976562,1.73092e-12
0.195312,3.97449e-11
0.292969,5.43668e-10
0.390625,3.32094e-09
0.488281,1.19658e-08
0.585938,2.80267e-08
0.683594,5.11156e-08
0.78125,7.46089e-08
0.878906,9.73504e-08
0.976562,1.29238e-07
1.07422,1.75626e-07
1.17188,2.01045e-07
1.26953,2.24702e-07
1.36719,2.10565e-07
1.46484,2.09497e-07
1.5625,2.42243e-07
1.66016,2.64198e-07
1.75781,2.93844e-07
1.85547,3.29893e-07
1.95312,3.90013e-07
2.05078,4.40343e-07
2.14844,4.36338e-07
2.24609,3.5465e-07
2.34375,4.21273e-07
2.44141,4.39591e-07
2.53906,3.85985e-07
2.63672,4.11071e-07
2.73438,4.16301e-07
2.83203,3.99984e-07
2.92969,4.23483e-07
3.02734,5.02979e-07
3.125,5.35627e-07
3.22266,5.24979e-07
3.32031,5.4469e-07
3.41797,5.23328e-07
3.51562,5.15433e-07
3.61328,5.59637e-07
3.71094,4.47199e-07
3.80859,4.72769e-07
3.90625,5.30765e-07
4.00391,5.68667e-07
4.10156,5.83736e-07
4.19922,5.1876e-07
4.29688,4.87468e-07
4.39453,5.36429e-07
4.49219,5.00387e-07
4.58984,5.33171e-07
4.6875,5.28224e-07
4.78516,5.55606e-07
4.88281,5.17078e-07
4.98047,5.51781e-07
5.07812,6.09872e-07
5.17578,5.67298e-07
5.27344,5.78406e-07
5.37109,6.47189e-07
5.46875,6.38474e-07
5.56641,5.66165e-07
5.66406,5.29428e-07
5.76172,5.13419e-07
5.85938,5.19792e-07
5.95703,5.08216e-07
6.05469,5.60254e-07
6.15234,5.99962e-07
6.25,6.74355e-07
6.34766,6.22983e-07
6.44531,5.83789e-07
6.54297,5.29085e-07
6.64062,5.23242e-07
6.73828,5.43013e-07
6.83594,5.64198e-07
6.93359,6.34569e-07
7.03125,5.42815e-07
7.12891,5.03729e-07
7.22656,5.17863e-07
7.32422,5.09918e-07
7.42188,6.18078e-07
7.51953,6.01986e-07
7.61719,5.72819e-07
7.71484,5.63323e-07
7.8125,5.81767e-07
7.91016,6.7703e-07
8.00781,5.86669e-07
8.10547,4.86023e-07
8.20312,5.12887e-07
8.30078,5.15706e-07
8.39844,4.90038e-07
8.49609,5.84561e-07
